lane	pid	rss_kb	cpu_pct	uptime_sec	children
agentio-prior-art	0	-	-	-	-
agentio-survey	0	-	-	-	-
batchlab	0	-	-	-	-
boop	83311	2736	0.0	1786329951	3
boop-rows	0	-	-	-	-
boop-shell-v2	83311	2736	0.0	1786329951	3
boop5	0	-	-	-	-
boop5-debur	0	-	-	-	-
boop5-debur2	0	-	-	-	-
catalog1	0	-	-	-	-
catalog2	0	-	-	-	-
catalog3	0	-	-	-	-
catalog456	0	-	-	-	-
catalog7	0	-	-	-	-
catalog8	0	-	-	-	-
catalogdecls	0	-	-	-	-
catalogtype	0	-	-	-	-
catarch	0	-	-	-	-
catflash	0	-	-	-	-
catrel	0	-	-	-	-
catseed	0	-	-	-	-
cattest	0	-	-	-	-
d2anim-a	0	-	-	-	-
d2anim-b	0	-	-	-	-
dl6shoot	0	-	-	-	-
edbtrace	0	-	-	-	-
enumtype	0	-	-	-	-
extract-ham	0	-	-	-	-
extract-prolog-refs	0	-	-	-	-
fable-main	0	-	-	-	-
flash-probe-tmux	0	-	-	-	-
forkA-flash	0	-	-	-	-
forkB-flash	0	-	-	-	-
gerrit-ui-deepseek	0	-	-	-	-
gfx-compose	0	-	-	-	-
gfx-history	0	-	-	-	-
gh-diffsize	0	-	-	-	-
gh-ext-research	0	-	-	-	-
gword	0	-	-	-	-
helpfix	0	-	-	-	-
helpfix2	0	-	-	-	-
instant-bus-smoke-20260807	0	-	-	-	-
instant-bus-visible-20260807	0	-	-	-	-
instant-bus-visible2-20260807	0	-	-	-	-
instant-rectangle-flash4	0	-	-	-	-
ipcrpc	0	-	-	-	-
ipcwire	0	-	-	-	-
jsonlist	0	-	-	-	-
jsonrx-dom	0	-	-	-	-
kwargs-recon	0	-	-	-	-
laneC	0	-	-	-	-
listkind	0	-	-	-	-
mdquery	0	-	-	-	-
modscope-recon	0	-	-	-	-
monoemit	0	-	-	-	-
monoprobe	0	-	-	-	-
n1grep	0	-	-	-	-
nothingprose	0	-	-	-	-
opt3vl-bench	0	-	-	-	-
optindex	0	-	-	-	-
p0b	0	-	-	-	-
prevturn	0	-	-	-	-
prolog-dead-sweep	0	-	-	-	-
proseport	0	-	-	-	-
quadfix	0	-	-	-	-
race-flash	0	-	-	-	-
race-terra	0	-	-	-	-
rectangle-flash4	0	-	-	-	-
redteam	0	-	-	-	-
relci	0	-	-	-	-
relhash	0	-	-	-	-
relhash2	0	-	-	-	-
relplan	0	-	-	-	-
relplan2	0	-	-	-	-
repo-cull	0	-	-	-	-
revive1	0	-	-	-	-
rowmatch	0	-	-	-	-
rxrace	0	-	-	-	-
scan-json-research	0	-	-	-	-
shootharness	0	-	-	-	-
skipA	0	-	-	-	-
skipB	0	-	-	-	-
slopstat	0	-	-	-	-
smell-f1	0	-	-	-	-
smell-f2	0	-	-	-	-
smell-f3	0	-	-	-	-
snakecase	0	-	-	-	-
snakecase2	0	-	-	-	-
sprefa-coordinator	4593	1824	0.0	1786239860	2
subsec	0	-	-	-	-
telemetry	0	-	-	-	-
tmuxvis	0	-	-	-	-
typeirplan	0	-	-	-	-
typeplanedupe	0	-	-	-	-
unsupportedrename	0	-	-	-	-
usage-fix	0	-	-	-	-
usage-fix2	0	-	-	-	-
usedoor	0	-	-	-	-
variantfield	0	-	-	-	-
xharness	0	-	-	-	-
xinterp	0	-	-	-	-
xmono	0	-	-	-	-
xrxgraph	0	-	-	-	-
